LEFEBVRE
LECLERCQ
DUBOIS
LEMAIRE
LEROY
DUPONT
CARLIER
LEGRAND
DESCAMPS
CARPENTIER
DELANNOY
PETIT
DUFOUR
BERNARD
DUMONT
DELATTRE
MOREAU
FONTAINE
DUJARDIN
FRANCOIS
DEVOS
MARTIN
PARENT
POLLET
LEBRUN
CARON
DELCROIX
RICHARD
DELHAYE
LAURENT
FLAMENT
RENARD
COUSIN
ROUSSEL
LELEU
DUBUS
SIX
POULAIN
LEMOINE
TISON
LECOMTE
LESAGE
MERCIER
DELCOURT
LEDUC
MAES
PREVOST
DUMORTIER
BRICOUT
CHARLET
BAUDUIN
VASSEUR
FIEVET
LECOCQ
DENIS
FOURNIER
BOULANGER
DECLERCQ
CATTEAU
ROBERT
DUPUIS
LIENARD
VANDAMME
THERY
CUVELIER
VERHAEGHE
MOREL
CARTON
LEFEVRE
DELPORTE
DUTHOIT
HUYGHE
REMY
OLIVIER
MARCHAND
DURIEZ
DELMOTTE
LAMBERT
THOMAS
DUEZ
CARDON
MAHIEU
BAILLEUL
ROUSSEAU
SAUVAGE
JOLY
VANDENBERGHE
DESMET
VERMEULEN
MERESSE
BROUTIN
PARMENTIER
DUMOULIN
VERBEKE
BOURGEOIS
DURIEUX
EVRARD
RICHEZ
LAGACHE
DUSSART
SIMON
HERBIN
DUQUESNE
VANDAELE
DEBRUYNE
MERIAUX
DELPLANQUE
CASTELAIN
PRUVOST
LEPERS
ALLARD
BONTE
CANONNE
HUBERT
BAERT
DELFOSSE
LEBLANC
ROGER
CLAISSE
PAYEN
MATHIEU
CHEVALIER
VIENNE
BISIAUX
DUHEM
POTTIER
DUPIRE
MORELLE
LEJEUNE
SEGARD
MICHEL
DESCHAMPS
DUHAMEL
MARECHAL
GUILBERT
MASSON
DECLERCK
DEREGNAUCOURT
VINCENT
HERBAUT
BATAILLE
LEROUGE
LEVEQUE
BASQUIN
DASSONVILLE
DUBAR
DEWAELE
CAMBIER
MAILLARD
CAPELLE
PICAVET
DECOTTIGNIES
GERARD
MEUNIER
LECERF
MAIRESSE
COLLET
BUISINE
FREMAUX
LESAFFRE
FLORIN
DELRUE
BRACQ
DUPAS
PHILIPPE
VANDEWALLE
GHESQUIERE
HUART
DEFOSSEZ
DELESALLE
BOUCHEZ
LUCAS
VANHOVE
BOCQUET
MEURISSE
DELOFFRE
CLEMENT
DELBECQ
MONTAGNE
LASSELIN
LENNE
GRUSON
DELECOURT
DEROO
BOURLET
CARRE
CARETTE
TIBERGHIEN
COPIN
GUIDEZ
LEMAN
MOLLET
CAUDRON
MARTINACHE
BEGHIN
DELVAL
BURY
DELAVAL
HONORE
THIBAUT
MASSE
CACHEUX
DECONINCK
BLAS
LEGROS
BLONDEAU
DUBRULLE
CREPIN
BERTRAND
LECONTE
DHALLUIN
PAMART
BLANQUART
DAVID
DELERUE
CASTEL
GABET
BOURGOIS
VAILLANT
MORTIER
BARBIER
DELGRANGE
FACON
DHAINAUT
VANHOUTTE
HENRY
BENOIT
DUQUENNE
DESMETTRE
FOULON
VERMEERSCH
DESREUMAUX
COUVREUR
LENGRAND
DEPREZ
DELFORGE
VILAIN
LIAGRE
HENNION
MALAQUIN
BOGAERT
BLANCHARD
VERSTRAETE
LEROUX
BLONDEL
DUQUESNOY
LAUDE
DEVAUX
CORDIER
SALOME
DEROUBAIX
CLAEYS
VANDENBUSSCHE
TAQUET
DUFLOT
DHAUSSY
DELILLE
DELAHAYE
GOSSELIN
BARBIEUX
DUSART
PAUWELS
BONNET
DUMEZ
DARRAS
COLIN
PLOUVIER
CAULIER
PREVOT
ROUSSEAUX
LANGLET
BOIDIN
FROMONT
THIEFFRY
LEPLAT
DERVAUX
HESPEL
VANDEVELDE
SENECHAL
LEPRETRE
DEGROOTE
DELOBEL
DELCAMBRE
DRUELLE
LEMAITRE
MARESCAUX
GODIN
MARTEL
LOBRY
MASQUELIER
CABY
LELONG
LEBON
DENYS
SOYEZ
ROLAND
LENOIR
WIART
DEHON
CHOQUET
PRUVOT
CHATELAIN
MONIER
COQUELLE
SOUFFLET
HOUZE
MONNIER
ROSE
BAUDRY
DUPREZ
JANSSENS
DEGAND
NYS
DESPREZ
NOEL
MOTTE
LEPOUTRE
DELBECQUE
FLINOIS
DERNONCOURT
VERDIERE
GLORIEUX
NORMAND
BAILLEUX
MAERTEN
VANDENBROUCKE
DESWARTE
CROMBEZ
BEAUVOIS
MATON
DERACHE
DAUCHY
GEORGE
CORDONNIER
BOURDON
DUTOIT
DELVALLEE
DECOSTER
CHARLES
DEVULDER
POTIER
MICHAUX
DUTILLEUL
DOUAY
BRABANT
BRUNET
SMAGGHE
PARSY
THIERY
DELEU
DESRUMAUX
LACROIX
VANDEPUTTE
CALLENS
BRASSEUR
HERMAN
PARIS
DEUDON
LEMPEREUR
GOBERT
BECUWE
ROUSSELLE
DUVAL
BEAUMONT
MILLE
PROUVOST
DEWITTE
LORTHIOIR
BARON
CHRETIEN
PLANQUE
LESTIENNE
BRASSART
ADAM
LAMBIN
SELOSSE
TAISNE
DENIMAL
DUVIVIER
DELECROIX
TAVERNIER
JACQUEMIN
BOUCHER
DELBARRE
MONIEZ
DELACROIX
LESNE
LESUR
DEPOORTER
CARRETTE
DESCARPENTRIES
COUPEZ
DUROT
DERYCKE
VILLETTE
MINNE
FACHE
CORNU
COULON
LEIGNEL
